card_no,slug,visible,association,cluster,cluster_title,section_no,card_order,connect_to,type,width,title,kicker,body,metric_value,metric_label,quote,caption,image_src,link_label,link_url,map_lat,map_lng,map_address,timeline_30,timeline_60,timeline_90,tags,notes
001,trz-self-custody,show,trezor,trezor-core,,0,1,,text-image-ext,320,Self-custody must become understandable,Trezor need,"The product has to help users understand what they control, what they risk, and what they must verify.",,,,,t_cardimage_1.png,,,,,,,,,self-custody|wallet|security|mental-model,Inner ring
002,trz-security-ux,show,trezor,trezor-core,,0,2,,text-image-ext,320,Security is part of UX,Trezor need,"In wallet products, unclear UX can become a security failure. Clarity, confirmation, and recovery are part of the protection model.",,,,,t_cardimage_6.png,,,,,,,,,security|ux|trust|wallet,Inner ring
003,trz-suite-trust-surface,show,trezor,trezor-core,,0,4,,text-image-ext,320,Trezor Suite is the trust surface,Product context,"Hardware creates the root of trust; software shapes daily confidence, comprehension, portfolio visibility, and safe action.",,,,,t_cardimage_7.png,,,,,,,,,trezor-suite|hardware-software|trust|product-surface,Inner ring
004,trz-wallet-edge-cases,show,trezor,trezor-core,,0,5,,text,320,Wallet flows must handle edge cases,Product context,"Sending, receiving, fees, networks, confirmation, errors, and recovery all need deliberate flow logic, not screen-level design only.",,,,,,,,,,,,,,wallet|edge-cases|flows|transactions,Inner ring
005,trz-multichain-complexity,show,trezor,trezor-core,,0,6,,text,320,Multi-chain complexity needs structure,Product context,"Assets, accounts, networks, fees, portfolio views, and transaction states must stay legible across desktop and mobile.",,,,,,,,,,,,,,multi-chain|portfolio|transactions|information-architecture,Inner ring
006,trz-ai-workflow,show,trezor,trezor-ai,,0,18,,quote,320,AI as daily workflow,Role signal,,,,"Use AI tools daily as a thought partner, research aid, and prototyping accelerator.",From the role description.,,,,,,,,,,ai-native|workflow|research|prototype,Inner ring quote
007,trz-functional-prototypes,show,trezor,trezor-ai,,0,17,,quote,320,"Functional prototypes, not only Figma",Role signal,,,,"Turn an idea into a working prototype, not just a Figma file.",From the role description.,,,,,,,,,,ai-native|prototype|build,Inner ring quote
008,trz-systems-thinking,show,trezor,trezor-craft,,0,12,,text,320,Systems thinking over screen thinking,Role signal,"The role requires flows, patterns, states, tokens, and component logic that scale across the product, not isolated screens.",,,,,,,,,,,,,,systems-thinking|design-system|flows|components,Inner ring
009,trz-ui-craft,show,trezor,trezor-craft,,0,14,,quote,320,Taste still matters,Role signal,,,,"When AI makes everything good enough, your taste is what makes it great.",From the role description.,,,,,,,,,,ui-craft|taste|typography|quality-bar,Inner ring quote
010,trz-clear-collaboration,show,trezor,trezor-craft,,0,15,,text-image-ext,320,"Clear collaboration with PM, engineering, and security",Role signal,"The designer must explain rationale, navigate trade-offs, and document decisions clearly in English with cross-functional partners.",,,,,t_cardimage_4.png,,,,,,,,,collaboration|communication|documentation|security,Inner ring
